t,formal-private-sector-wage-rate-index(december-1978=100)(nominal)-monthly,month-end-a-exchange-rates-monthly,monthly-average-exchange-rates-monthly
1986-01-01 00:00:00,8239.0,323.92,27.5
1986-02-01 00:00:00,8239.0,323.92,27.6
1986-03-01 00:00:00,8239.0,323.92,27.6
1986-04-01 00:00:00,8239.0,323.92,27.8
1986-05-01 00:00:00,8239.0,323.92,27.9
1986-06-01 00:00:00,8239.0,323.92,27.9
1986-07-01 00:00:00,8239.0,323.92,28.0
1986-08-01 00:00:00,8239.0,323.92,28.2
1986-09-01 00:00:00,8239.0,323.92,28.3
1986-10-01 00:00:00,8239.0,323.92,28.4
1986-11-01 00:00:00,8239.0,323.92,28.5
1986-12-01 00:00:00,8239.0,323.92,28.5
1987-01-01 00:00:00,8239.0,323.92,28.6
1987-02-01 00:00:00,8239.0,323.92,28.6
1987-03-01 00:00:00,8239.0,323.92,28.8
1987-04-01 00:00:00,8239.0,323.92,28.9
1987-05-01 00:00:00,8239.0,323.92,29.0
1987-06-01 00:00:00,8239.0,323.92,29.2
1987-07-01 00:00:00,8239.0,323.92,29.4
1987-08-01 00:00:00,8239.0,323.92,29.6
1987-09-01 00:00:00,8239.0,323.92,29.9
1987-10-01 00:00:00,8239.0,323.92,30.3
1987-11-01 00:00:00,8239.0,323.92,30.5
1987-12-01 00:00:00,8239.0,323.92,30.6
1988-01-01 00:00:00,8239.0,323.92,30.8
1988-02-01 00:00:00,8239.0,323.92,30.8
1988-03-01 00:00:00,8239.0,323.92,30.9
1988-04-01 00:00:00,8239.0,323.92,30.9
1988-05-01 00:00:00,8239.0,323.92,31.0
1988-06-01 00:00:00,8239.0,323.92,31.1
1988-07-01 00:00:00,8239.0,323.92,31.8
1988-08-01 00:00:00,8239.0,323.92,32.5
1988-09-01 00:00:00,8239.0,323.92,33.0
1988-10-01 00:00:00,8239.0,323.92,33.0
1988-11-01 00:00:00,8239.0,323.92,33.0
1988-12-01 00:00:00,8239.0,323.92,33.0
1989-01-01 00:00:00,8239.0,323.92,33.1
1989-02-01 00:00:00,8239.0,323.92,33.1
1989-03-01 00:00:00,8239.0,323.92,33.4
1989-04-01 00:00:00,8239.0,323.92,34.0
1989-05-01 00:00:00,8239.0,323.92,34.1
1989-06-01 00:00:00,8239.0,323.92,34.3
1989-07-01 00:00:00,8239.0,323.92,34.7
1989-08-01 00:00:00,8239.0,323.92,36.3
1989-09-01 00:00:00,8239.0,323.92,39.5
1989-10-01 00:00:00,8239.0,323.92,40.0
1989-11-01 00:00:00,8239.0,323.92,40.0
1989-12-01 00:00:00,8239.0,323.92,40.0
1990-01-01 00:00:00,8239.0,323.92,40.0
1990-02-01 00:00:00,8239.0,323.92,40.0
1990-03-01 00:00:00,8239.0,323.92,40.0
1990-04-01 00:00:00,8239.0,323.92,40.0
1990-05-01 00:00:00,8239.0,323.92,40.0
1990-06-01 00:00:00,8239.0,323.92,40.0
1990-07-01 00:00:00,8239.0,323.92,40.0
1990-08-01 00:00:00,8239.0,323.92,40.0
1990-09-01 00:00:00,8239.0,323.92,39.9
1990-10-01 00:00:00,8239.0,323.92,40.3
1990-11-01 00:00:00,8239.0,323.92,40.3
1990-12-01 00:00:00,8239.0,323.92,40.2
1991-01-01 00:00:00,8239.0,323.92,40.3
1991-02-01 00:00:00,8239.0,323.92,40.6
1991-03-01 00:00:00,8239.0,323.92,40.7
1991-04-01 00:00:00,8239.0,323.92,40.8
1991-05-01 00:00:00,8239.0,323.92,41.0
1991-06-01 00:00:00,8239.0,323.92,41.2
1991-07-01 00:00:00,8239.0,323.92,41.2
1991-08-01 00:00:00,8239.0,323.92,41.7
1991-09-01 00:00:00,8239.0,323.92,41.9
1991-10-01 00:00:00,8239.0,323.92,42.2
1991-11-01 00:00:00,8239.0,323.92,42.4
1991-12-01 00:00:00,8239.0,323.92,42.5
1992-01-01 00:00:00,8239.0,323.92,42.6
1992-02-01 00:00:00,8239.0,323.92,42.8
1992-03-01 00:00:00,8239.0,323.92,43.1
1992-04-01 00:00:00,8239.0,323.92,43.4
1992-05-01 00:00:00,8239.0,323.92,43.6
1992-06-01 00:00:00,8239.0,323.92,43.9
1992-07-01 00:00:00,8239.0,323.92,44.0
1992-08-01 00:00:00,8239.0,323.92,44.1
1992-09-01 00:00:00,8239.0,323.92,44.2
1992-10-01 00:00:00,8239.0,323.92,44.4
1992-11-01 00:00:00,8239.0,323.92,44.6
1992-12-01 00:00:00,8239.0,323.92,45.0
1993-01-01 00:00:00,8239.0,323.92,46.3
1993-02-01 00:00:00,8239.0,323.92,46.5
1993-03-01 00:00:00,8239.0,323.92,47.0
1993-04-01 00:00:00,8239.0,323.92,47.8
1993-05-01 00:00:00,8239.0,323.92,48.1
1993-06-01 00:00:00,8239.0,323.92,48.2
1993-07-01 00:00:00,8239.0,323.92,48.8
1993-08-01 00:00:00,8239.0,323.92,49.0
1993-09-01 00:00:00,8239.0,323.92,49.1
1993-10-01 00:00:00,8239.0,323.92,49.2
1993-11-01 00:00:00,8239.0,323.92,49.3
1993-12-01 00:00:00,8239.0,323.92,49.5
1994-01-01 00:00:00,8239.0,323.92,49.7
1994-02-01 00:00:00,8239.0,323.92,49.4
1994-03-01 00:00:00,8239.0,323.92,49.2
1994-04-01 00:00:00,8239.0,323.92,49.2
1994-05-01 00:00:00,8239.0,323.92,49.3
1994-06-01 00:00:00,8239.0,323.92,49.6
1994-07-01 00:00:00,8239.0,323.92,49.3
1994-08-01 00:00:00,8239.0,323.92,49.5
1994-09-01 00:00:00,8239.0,323.92,49.5
1994-10-01 00:00:00,8239.0,323.92,49.4
1994-11-01 00:00:00,8239.0,323.92,49.3
1994-12-01 00:00:00,8239.0,323.92,49.7
1996-01-01 00:00:00,8239.0,54.2,54.2
1996-02-01 00:00:00,8239.0,54.1,54.2
1996-03-01 00:00:00,8239.0,54.2,54.2
1996-04-01 00:00:00,8239.0,54.2,54.2
1996-05-01 00:00:00,8239.0,54.7,54.4
1996-06-01 00:00:00,8239.0,55.2,55.0
1996-07-01 00:00:00,8239.0,55.6,55.5
1996-08-01 00:00:00,8239.0,55.9,55.8
1996-09-01 00:00:00,8239.0,56.4,56.2
1996-10-01 00:00:00,8239.0,56.5,56.5
1996-11-01 00:00:00,8239.0,56.6,56.5
1996-12-01 00:00:00,8239.0,56.7,56.6
1997-01-01 00:00:00,8239.0,57.2,56.9
1997-02-01 00:00:00,8239.0,57.5,57.4
1997-03-01 00:00:00,8239.0,58.0,57.8
1997-04-01 00:00:00,8239.0,58.7,58.4
1997-05-01 00:00:00,8239.0,58.9,58.8
1997-06-01 00:00:00,8239.0,59.0,59.0
1997-07-01 00:00:00,8239.0,59.4,59.2
1997-08-01 00:00:00,8239.0,59.5,59.5
1997-09-01 00:00:00,8239.0,59.8,59.7
1997-10-01 00:00:00,8239.0,60.1,59.9
1997-11-01 00:00:00,8239.0,60.6,60.3
1997-12-01 00:00:00,8239.0,61.3,61.0
1998-01-01 00:00:00,941.3,61.6,61.5
1998-02-01 00:00:00,941.7,62.0,61.8
1998-03-01 00:00:00,941.3,62.7,62.3
1998-04-01 00:00:00,945.0,63.4,63.1
1998-05-01 00:00:00,946.8,64.3,63.9
1998-06-01 00:00:00,947.4,64.8,64.5
1998-07-01 00:00:00,948.4,65.7,65.2
1998-08-01 00:00:00,949.2,66.0,66.0
1998-09-01 00:00:00,949.1,66.1,66.1
1998-10-01 00:00:00,974.8,66.5,66.3
1998-11-01 00:00:00,977.1,67.4,66.9
1998-12-01 00:00:00,977.4,67.8,67.5
1999-01-01 00:00:00,977.4,68.2,67.9
1999-02-01 00:00:00,977.4,68.8,68.5
1999-03-01 00:00:00,977.6,69.5,69.1
1999-04-01 00:00:00,977.6,69.9,69.7
1999-05-01 00:00:00,977.6,70.4,70.2
1999-06-01 00:00:00,977.6,70.9,70.6
1999-07-01 00:00:00,977.6,71.0,71.1
1999-08-01 00:00:00,977.6,71.1,71.1
1999-09-01 00:00:00,977.6,71.3,71.2
1999-10-01 00:00:00,977.6,71.6,71.4
1999-11-01 00:00:00,977.6,71.9,71.8
1999-12-01 00:00:00,977.6,72.1,72.1
2000-01-01 00:00:00,977.6,72.6,72.4
2000-02-01 00:00:00,977.6,73.0,72.8
2000-03-01 00:00:00,977.6,73.1,73.1
2000-04-01 00:00:00,982.9,73.5,73.3
2000-05-01 00:00:00,982.9,74.0,73.8
2000-06-01 00:00:00,982.9,77.5,75.7
2000-07-01 00:00:00,1018.2,77.5,77.5
2000-08-01 00:00:00,1020.3,77.5,77.5
2000-09-01 00:00:00,1020.3,77.5,77.5
2000-10-01 00:00:00,1020.3,77.5,77.5
2000-11-01 00:00:00,1020.3,79.1,78.4
2000-12-01 00:00:00,1024.0,80.1,79.7
2001-01-01 00:00:00,1024.0,90.3,83.7
2001-02-01 00:00:00,1026.8,86.1,87.0
2001-03-01 00:00:00,1044.2,86.8,85.8
2001-04-01 00:00:00,1045.5,89.5,87.9
2001-05-01 00:00:00,1045.9,91.5,90.7
2001-06-01 00:00:00,1053.0,90.7,90.4
2001-07-01 00:00:00,1053.1,89.9,90.3
2001-08-01 00:00:00,1053.1,90.1,89.9
2001-09-01 00:00:00,1053.1,90.1,90.2
2001-10-01 00:00:00,1053.0,91.8,90.8
2001-11-01 00:00:00,1069.8,93.1,92.6
2001-12-01 00:00:00,1069.8,93.2,93.1
2002-01-01 00:00:00,1069.8,93.5,93.4
2002-02-01 00:00:00,1069.9,93.6,93.5
2002-03-01 00:00:00,1069.9,95.6,94.7
2002-04-01 00:00:00,1069.9,96.1,95.9
2002-05-01 00:00:00,1069.9,96.2,96.2
2002-06-01 00:00:00,1069.9,96.1,96.2
2002-07-01 00:00:00,1183.1,96.3,96.1
2002-08-01 00:00:00,1183.1,96.3,96.3
2002-09-01 00:00:00,1183.0,96.3,96.2
2002-10-01 00:00:00,1183.0,96.4,96.3
2002-11-01 00:00:00,1183.0,96.6,96.5
2002-12-01 00:00:00,1183.0,96.7,96.7
2003-01-01 00:00:00,1183.1,96.8,96.8
2003-02-01 00:00:00,1184.0,96.9,96.9
2003-03-01 00:00:00,1184.3,96.9,96.9
2003-04-01 00:00:00,1189.0,97.1,97.0
2003-05-01 00:00:00,1215.3,97.3,97.2
2003-06-01 00:00:00,1215.3,97.1,97.2
2003-07-01 00:00:00,1215.4,97.1,97.1
2003-08-01 00:00:00,1215.3,96.8,97.0
2003-09-01 00:00:00,1215.3,94.4,95.5
2003-10-01 00:00:00,1215.3,94.8,94.5
2003-11-01 00:00:00,1215.3,96.5,95.8
2003-12-01 00:00:00,1215.3,96.7,96.4
2004-01-01 00:00:00,1219.1,97.5,97.9
2004-02-01 00:00:00,1219.1,99.0,98.5
2004-03-01 00:00:00,1219.1,97.4,97.5
2004-04-01 00:00:00,1233.5,98.3,98.0
2004-05-01 00:00:00,1237.2,99.1,98.9
2004-06-01 00:00:00,1237.2,102.3,100.7
2004-07-01 00:00:00,1237.4,103.4,102.8
2004-08-01 00:00:00,1237.4,103.1,103.4
2004-09-01 00:00:00,1237.4,103.7,103.2
2004-10-01 00:00:00,1238.5,104.0,103.8
2004-11-01 00:00:00,1240.2,104.9,104.7
2004-12-01 00:00:00,1240.3,104.6,104.8
2005-01-01 00:00:00,1241.0,99.4,99.6
2005-02-01 00:00:00,1331.9,99.5,99.4
2005-03-01 00:00:00,1332.3,99.4,99.4
2005-04-01 00:00:00,1336.7,99.9,99.7
2005-05-01 00:00:00,1336.7,99.9,99.9
2005-06-01 00:00:00,1336.7,100.0,100.0
2005-07-01 00:00:00,1336.7,100.7,100.3
2005-08-01 00:00:00,1336.7,101.2,100.8
2005-09-01 00:00:00,1341.8,101.3,101.4
2005-10-01 00:00:00,1341.8,101.8,101.5
2005-11-01 00:00:00,1341.9,102.0,101.9
2005-12-01 00:00:00,1341.9,102.1,102.0
2006-01-01 00:00:00,1341.9,102.3,102.1
2006-02-01 00:00:00,1341.9,102.5,102.2
2006-03-01 00:00:00,1341.9,102.8,102.7
2006-04-01 00:00:00,1362.1,102.8,102.7
2006-05-01 00:00:00,1362.1,103.0,102.9
2006-06-01 00:00:00,1362.2,104.0,103.5
2006-07-01 00:00:00,1362.3,104.0,104.0
2006-08-01 00:00:00,1362.3,102.6,103.8
2006-09-01 00:00:00,1362.3,103.8,102.5
2006-10-01 00:00:00,1362.3,107.3,105.6
2006-11-01 00:00:00,1362.3,108.0,107.7
2006-12-01 00:00:00,1375.3,107.7,107.9
2007-01-01 00:00:00,1378.0,108.7,108.5
2007-02-01 00:00:00,1378.1,108.7,108.7
2007-03-01 00:00:00,1378.0,109.4,109.3
2007-04-01 00:00:00,1378.0,110.2,109.4
2007-05-01 00:00:00,1548.8,110.8,110.9
2007-06-01 00:00:00,1817.6,111.4,111.0
2007-07-01 00:00:00,1817.7,111.8,111.7
2007-08-01 00:00:00,1817.7,113.1,112.1
2007-09-01 00:00:00,1817.7,113.5,113.3
2007-10-01 00:00:00,1817.7,111.4,113.1
2007-11-01 00:00:00,1817.8,110.5,110.5
2007-12-01 00:00:00,1817.9,108.7,109.1
2008-01-01 00:00:00,1817.9,108.0,108.3
2008-02-01 00:00:00,1819.6,107.9,107.9
2008-03-01 00:00:00,2046.2,107.8,107.7
2008-04-01 00:00:00,2046.2,107.9,107.8
2008-05-01 00:00:00,2046.3,107.9,107.8
2008-06-01 00:00:00,2046.3,107.7,107.8
2008-07-01 00:00:00,2168.3,107.5,107.6
2008-08-01 00:00:00,2168.3,107.8,107.8
2008-09-01 00:00:00,2171.4,107.9,107.9
2008-10-01 00:00:00,2171.4,109.4,108.1
2008-11-01 00:00:00,2171.4,110.0,110.0
2008-12-01 00:00:00,2171.4,113.1,111.4
2009-01-01 00:00:00,2171.3,113.9,113.7
2009-02-01 00:00:00,2171.3,114.3,113.9
2009-03-01 00:00:00,2171.3,115.1,114.3
2009-04-01 00:00:00,2171.3,120.1,117.4
2009-05-01 00:00:00,2171.3,114.9,116.9
2009-06-01 00:00:00,2171.4,114.9,114.9
2009-07-01 00:00:00,2171.4,114.9,114.9
2009-08-01 00:00:00,2171.5,114.8,114.9
2009-09-01 00:00:00,2171.5,114.8,114.8
2009-10-01 00:00:00,2171.5,114.8,114.8
2009-11-01 00:00:00,2171.5,114.6,114.5
2009-12-01 00:00:00,2171.5,114.4,114.3
2010-01-01 00:00:00,2813.6,114.6,114.4
2010-02-01 00:00:00,2813.8,114.4,114.5
2010-03-01 00:00:00,2813.9,114.0,114.2
2010-04-01 00:00:00,2813.7,114.0,113.9
2010-05-01 00:00:00,2813.6,113.9,113.7
2010-06-01 00:00:00,2813.8,113.5,113.6
2010-07-01 00:00:00,2824.0,112.6,113.1
2010-08-01 00:00:00,2935.2,112.7,112.4
2010-09-01 00:00:00,2935.2,111.9,112.5
2010-10-01 00:00:00,2935.4,111.7,111.8
2010-11-01 00:00:00,2935.6,111.5,111.6
2010-12-01 00:00:00,2935.7,111.0,111.1
2011-01-01 00:00:00,2935.9,111.1,110.9
2011-02-01 00:00:00,2936.1,110.8,111.0
2011-03-01 00:00:00,2936.3,110.4,110.4
2011-04-01 00:00:00,2936.3,109.9,110.3
2011-05-01 00:00:00,2936.3,109.8,109.8
2011-06-01 00:00:00,2936.4,109.6,109.6
2011-07-01 00:00:00,2936.4,109.5,109.5
2011-08-01 00:00:00,2936.4,109.9,109.8
2011-09-01 00:00:00,2936.4,110.2,110.1
2011-10-01 00:00:00,2936.4,110.1,110.2
2011-11-01 00:00:00,2936.4,113.9,111.3
2011-12-01 00:00:00,3653.9,113.9,113.9
2012-01-01 00:00:00,3653.9,113.9,113.9
2012-02-01 00:00:00,3662.4,121.1,117.2
2012-03-01 00:00:00,3662.4,128.2,125.5
2012-04-01 00:00:00,3662.5,130.8,128.7
2012-05-01 00:00:00,3662.6,132.2,129.4
2012-06-01 00:00:00,3662.7,133.3,132.0
2012-07-01 00:00:00,3662.8,131.8,132.9
2012-08-01 00:00:00,3662.9,132.4,132.1
2012-09-01 00:00:00,3662.8,129.8,131.8
2012-10-01 00:00:00,3662.8,130.0,129.1
2012-11-01 00:00:00,3662.8,130.3,130.3
2012-12-01 00:00:00,3662.9,127.2,128.3
2013-01-01 00:00:00,3720.7,126.5,126.9
2013-02-01 00:00:00,3732.0,127.5,126.7
2013-03-01 00:00:00,3881.7,126.9,126.8
2013-04-01 00:00:00,3889.8,126.8,126.0
2013-05-01 00:00:00,3889.7,126.5,126.3
2013-06-01 00:00:00,3889.9,130.0,127.8
2013-07-01 00:00:00,3890.0,131.6,131.0
2013-08-01 00:00:00,3890.0,133.1,131.8
2013-09-01 00:00:00,3890.0,132.0,132.5
2013-10-01 00:00:00,3890.0,131.0,131.1
2013-11-01 00:00:00,3928.8,131.2,131.1
2013-12-01 00:00:00,3938.1,130.8,130.8
2014-01-01 00:00:00,3938.1,130.7,130.7
2014-02-01 00:00:00,3938.1,131.0,130.8
2014-03-01 00:00:00,3938.1,130.7,130.6
2014-04-01 00:00:00,3938.1,130.6,130.6
2014-05-01 00:00:00,3938.2,130.5,130.5
2014-06-01 00:00:00,3938.2,130.3,130.3
2014-07-01 00:00:00,3938.3,130.2,130.2
2014-08-01 00:00:00,4099.2,130.2,130.2
2014-09-01 00:00:00,4099.2,130.4,130.3
2014-10-01 00:00:00,4127.1,130.8,130.6
2014-11-01 00:00:00,4127.0,131.0,130.9
2014-12-01 00:00:00,4127.0,131.0,131.0
2015-01-01 00:00:00,4127.0,132.2,131.6
2015-02-01 00:00:00,4127.2,132.9,132.7
2015-03-01 00:00:00,4127.0,132.9,132.9
2015-04-01 00:00:00,4126.9,132.9,132.9
2015-05-01 00:00:00,4127.0,133.9,133.5
2015-06-01 00:00:00,4127.0,133.7,133.9
2015-07-01 00:00:00,4127.1,133.6,133.7
2015-08-01 00:00:00,4127.1,134.3,133.9
2015-09-01 00:00:00,4127.1,141.2,138.9
2015-10-01 00:00:00,4127.1,140.9,140.9
2015-11-01 00:00:00,4126.8,143.2,142.0
2015-12-01 00:00:00,4127.9,144.1,143.4
2016-01-01 00:00:00,4128.0,143.9,143.9
2016-02-01 00:00:00,4127.9,144.3,143.9
2016-03-01 00:00:00,4127.7,143.9,144.0
2016-04-01 00:00:00,4127.6,143.9,143.9
2016-05-01 00:00:00,4127.8,145.8,145.7
2016-06-01 00:00:00,4127.9,145.3,145.3
2016-07-01 00:00:00,4128.2,145.75,145.41
2016-08-01 00:00:00,4128.1,145.62,145.6
2016-09-01 00:00:00,4127.9,146.72,145.78
2016-10-01 00:00:00,4127.9,147.11,146.87
2016-11-01 00:00:00,4128.0,147.95,147.77
2016-12-01 00:00:00,4128.1,149.8,148.9
2017-01-01 00:00:00,4128.3,150.24,150.09
2017-02-01 00:00:00,4128.4,151.25,150.82
2017-03-01 00:00:00,4128.4,151.74,151.43
2017-04-01 00:00:00,4128.4,151.9,151.76
2017-05-01 00:00:00,4128.5,152.5,152.33
2017-06-01 00:00:00,4128.6,153.51,152.83
2017-07-01 00:00:00,4128.7,153.73,153.67
2017-08-01 00:00:00,4128.6,152.84,153.19
2017-09-01 00:00:00,4128.6,153.1,152.9
2017-10-01 00:00:00,4128.7,153.59,153.53
2017-11-01 00:00:00,4128.9,153.77,153.66
2017-12-01 00:00:00,4129.0,152.85,153.15
2018-01-01 00:00:00,4129.0,153.77,153.8
2018-02-01 00:00:00,4128.9,154.87,154.86
2018-03-01 00:00:00,4128.7,155.97,155.73
2018-04-01 00:00:00,4128.6,157.65,156.14
2018-05-01 00:00:00,4128.6,158.09,157.9
2018-06-01 00:00:00,4128.7,158.26,159.07
2018-07-01 00:00:00,4128.9,159.71,159.34
2018-08-01 00:00:00,4160.1,161.47,160.35
2018-09-01 00:00:00,4159.9,169.24,164.42
2018-10-01 00:00:00,4213.6,174.38,171.22
2018-11-01 00:00:00,4213.6,179.67,176.85
2018-12-01 00:00:00,4213.9,182.75,180.1
2019-01-01 00:00:00,4213.9,179.88,182.13
2019-02-01 00:00:00,4281.0,179.8,178.73
2019-03-01 00:00:00,4281.0,176.13,178.43
2019-04-01 00:00:00,4280.9,175.46,174.8
2019-05-01 00:00:00,4281.0,176.41,176.44
2019-06-01 00:00:00,4281.1,176.54,176.59
2019-07-01 00:00:00,4281.1,176.24,175.99
2019-08-01 00:00:00,4281.2,180.72,177.97
2019-09-01 00:00:00,4281.2,181.93,180.78
2019-10-01 00:00:00,4281.3,181.6,181.45
2019-11-01 00:00:00,4281.4,180.43,180.37
2019-12-01 00:00:00,4281.5,181.63,181.25
2020-01-01 00:00:00,4281.8,181.59,181.4
2020-02-01 00:00:00,4281.9,181.81,181.56
2020-03-01 00:00:00,4281.9,188.62,185.06
2020-04-01 00:00:00,4281.9,192.85,193.09
2020-05-01 00:00:00,4281.9,186.29,187.87
2020-06-01 00:00:00,4282.0,186.23,185.95
2020-07-01 00:00:00,4282.0,185.68,185.85
2020-08-01 00:00:00,4282.0,186.16,184.89
2020-09-01 00:00:00,4282.0,185.52,185.03
2020-10-01 00:00:00,4282.1,184.28,184.44
2020-11-01 00:00:00,4282.2,184.96,184.79
2020-12-01 00:00:00,4282.2,186.41,187.18
2021-01-01 00:00:00,4282.4,194.39,190.49
2021-02-01 00:00:00,4282.4,194.01,194.07
2021-03-01 00:00:00,8020.7,199.04,196.98
2021-04-01 00:00:00,8020.6,199.54,197.42
2021-05-01 00:00:00,8020.7,199.5,199.58
2021-06-01 00:00:00,8020.8,201.14,199.82
2021-07-01 00:00:00,8021.0,199.9,199.98
2021-08-01 00:00:00,8192.5,210.0,200.5
2021-09-01 00:00:00,8192.5,199.99,201.99
2021-10-01 00:00:00,8193.1,201.87,201.09
2021-11-01 00:00:00,8193.4,202.05,201.86
2021-12-01 00:00:00,8193.8,200.43,201.4
2022-01-01 00:00:00,8194.4,201.19,201.46
2022-02-01 00:00:00,8194.8,201.06,201.74
2022-03-01 00:00:00,8194.9,299.0,255.81
2022-04-01 00:00:00,8195.3,341.85,319.44
2022-05-01 00:00:00,8196.7,360.76,358.94
2022-06-01 00:00:00,8198.2,359.88,360.24
2022-07-01 00:00:00,8200.1,360.8,360.87
2022-08-01 00:00:00,8201.1,361.15,361.0
2022-09-01 00:00:00,8201.5,362.9,362.38
2022-10-01 00:00:00,8201.9,363.3,363.15
2022-11-01 00:00:00,8201.9,363.19,363.39
2022-12-01 00:00:00,8201.8,363.11,363.17
2023-01-01 00:00:00,8201.8,362.14,362.42
2023-02-01 00:00:00,8202.0,361.63,361.98
2023-03-01 00:00:00,8239.1,327.29,329.47
2023-04-01 00:00:00,8239.1,321.65,321.42
2023-05-01 00:00:00,8238.8,295.52,310.16
2023-06-01 00:00:00,8239.0,308.83,301.26
2023-07-01 00:00:00,8239.1,329.36,319.29
2023-08-01 00:00:00,8239.0,322.66,321.58
2023-09-01 00:00:00,8238.8,324.45,322.77
2023-10-01 00:00:00,8239.0,327.38,324.73
2023-11-01 00:00:00,8239.0,329.04,328.25
2023-12-01 00:00:00,8239.0,323.92,328.25
2024-01-01 05:30:00,8241.614966521825,326.26563671270395,329.74070460724926
2024-02-01 05:30:00,8237.528166555509,322.19133815441944,325.960330847149
2024-03-03 05:30:00,8238.304709812464,323.0687819663155,327.15881778459465
2024-04-03 05:30:00,8238.590575175029,323.4511762212689,327.71410739919594
2024-05-04 05:30:00,8238.832477823405,323.7392381855833,328.0661070956073
2024-06-04 05:30:00,8238.957363562391,323.87898028931403,328.21926626191254
2024-07-05 05:30:00,8239.000827632895,323.9244545989465,328.262389725946
2024-08-05 05:30:00,8239.008550210941,323.93084026731134,328.26459031819417
2024-09-05 05:30:00,8239.005955505929,323.92691482114077,328.25811308962125
2024-10-06 05:30:00,8239.002659479731,323.92291744254544,328.25307356894393
2024-11-06 05:30:00,8239.00078854717,323.9207937770159,328.25068161818314
2024-12-07 05:30:00,8239.000066954659,323.92002252770425,328.2499132270987
